Episode 113 	 Cost: 39.6346 	 Latency: 3.2453s 	 Energy: 0.3220J 	 Load: 1.3% 	 Act:[Loc:0% MEC:18% Rem:17% Cld:65%]
Episode 114 	 Cost: 50.9021 	 Latency: 4.0026s 	 Energy: 0.2404J 	 Load: 3.1% 	 Act:[Loc:0% MEC:19% Rem:22% Cld:59%]
Episode 115 	 Cost: 36.6094 	 Latency: 3.0671s 	 Energy: 0.3578J 	 Load: 0.6% 	 Act:[Loc:0% MEC:20% Rem:25% Cld:55%]
Episode 116 	 Cost: 30.8090 	 Latency: 2.7203s 	 Energy: 0.2575J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:23% Cld:59%]
Episode 117 	 Cost: 35.5590 	 Latency: 2.9772s 	 Energy: 0.2621J 	 Load: 1.0% 	 Act:[Loc:0% MEC:19% Rem:15% Cld:66%]
Episode 118 	 Cost: 49.4705 	 Latency: 3.8912s 	 Energy: 0.3751J 	 Load: 1.0% 	 Act:[Loc:0% MEC:19% Rem:24% Cld:57%]
Episode 119 	 Cost: 28.6092 	 Latency: 2.5323s 	 Energy: 0.3190J 	 Load: 2.9% 	 Act:[Loc:0% MEC:18% Rem:26% Cld:55%]
Episode 120 	 Cost: 38.5957 	 Latency: 3.1692s 	 Energy: 0.3088J 	 Load: 1.5% 	 Act:[Loc:0% MEC:19% Rem:16% Cld:65%]
Episode 121 	 Cost: 38.6013 	 Latency: 3.1679s 	 Energy: 0.3290J 	 Load: 1.7% 	 Act:[Loc:0% MEC:20% Rem:15% Cld:65%]
Episode 122 	 Cost: 53.0476 	 Latency: 4.1103s 	 Energy: 0.2843J 	 Load: 0.0% 	 Act:[Loc:0% MEC:21% Rem:20% Cld:59%]
Episode 123 	 Cost: 39.0451 	 Latency: 3.2080s 	 Energy: 0.2926J 	 Load: 0.6% 	 Act:[Loc:0% MEC:20% Rem:18% Cld:62%]
Episode 124 	 Cost: 25.6525 	 Latency: 2.3476s 	 Energy: 0.2458J 	 Load: 1.0% 	 Act:[Loc:0% MEC:18% Rem:21% Cld:61%]
Episode 125 	 Cost: 42.1017 	 Latency: 3.4107s 	 Energy: 0.3224J 	 Load: 1.6% 	 Act:[Loc:0% MEC:17% Rem:16% Cld:66%]
